VALUE,AMOUNT,PERCENTAGE
1,1,0.08116883116883117
G,1,0.08116883116883117
K,1,0.08116883116883117
Y,1,0.08116883116883117
Ж,2,0.16233766233766234
Ш,2,0.16233766233766234
Ъ,2,0.16233766233766234
F,2,0.16233766233766234
Х,3,0.2435064935064935
Ц,3,0.2435064935064935
M,3,0.2435064935064935
H,4,0.3246753246753247
J,4,0.3246753246753247
C,5,0.4058441558441558
Ф,6,0.487012987012987
B,6,0.487012987012987
Ь,7,0.5681818181818182
Ч,8,0.6493506493506493
Ю,8,0.6493506493506493
D,8,0.6493506493506493
P,8,0.6493506493506493
Б,9,0.7305194805194805
U,9,0.7305194805194805
V,9,0.7305194805194805
Э,10,0.8116883116883116
X,11,0.8928571428571428
Г,12,0.974025974025974
Ы,14,1.1363636363636365
Я,14,1.1363636363636365
Й,15,1.2175324675324677
П,16,1.2987012987012987
A,16,1.2987012987012987
L,16,1.2987012987012987
S,19,1.5422077922077921
N,20,1.6233766233766231
R,20,1.6233766233766231
З,21,1.7045454545454544
Щ,23,1.8668831168831168
У,26,2.1103896103896105
O,27,2.1915584415584415
К,29,2.353896103896104
I,29,2.353896103896104
М,31,2.5162337662337664
Д,33,2.6785714285714284
T,34,2.75974025974026
В,42,3.4090909090909087
E,45,3.6525974025974026
Л,47,3.8149350649350646
Н,47,3.8149350649350646
С,48,3.896103896103896
Р,50,4.058441558441558
А,58,4.707792207792208
И,68,5.51948051948052
О,74,6.0064935064935066
Т,78,6.331168831168831
Е,127,10.308441558441558

